id_coordenada_dibujo_ruta,id_dibujo_ruta_linea,latitud_dibujo_ruta,longitud_dibujo_ruta,posicion,id_dibujo_rutas,id_ruta,color_ruta,grosor_ruta,opacidad_ruta,id_cuenta_usuario_dibujo,nombre_cuenta_usuario_dibujo,id_cliente_dibujo_ruta,id_ruta,id_tipo_ruta,id_tipo_impresion_hoja_ruta,nombre_ruta,cantidad_punto_ruta,coincidencia_min,numero_ruta,ver_totales,ver_observaciones,ver_retraso_en_planilla,ver_velocidad_excedida,monto_velocidad_excedida,orden_pestania_planilla,visualizar_ruta,frecuencia_envio_hora,estado_ruta,reasignacion_grupal,id_cuenta_usuario_ruta,nombre_cuenta_usuario_ruta,id_cliente_ruta
2788,17,-17.380738840788236,-66.17945758060502,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2789,17,-17.3815067616292,-66.17945221618699,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2790,17,-17.38292825466811,-66.17948440269517,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2791,17,-17.38277979137644,-66.17897478298234,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2792,17,-17.382639007109294,-66.17846248106049,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2793,17,-17.382270407787868,-66.17719111398743,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2794,17,-17.382015608612296,-66.1764126302,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2795,17,-17.381974653029292,-66.17582522642574,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2796,17,-17.38207960169239,-66.1752056361433,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
2797,17,-17.382164072523832,-66.17477973612111,NULL,17,173,#1be660,5,0.5,5,"C-Linea LL Rastreo",503,173,1,1,"SAN GABRIEL",18,2,4,1,1,1,0,0,1,1,10,1,0,5,"C-Linea LL Rastreo",503
